Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date," BC End Date	",ND Start Date,ND End Date,Actual Payment Date
500067,BLUESTARCO,BLUE STAR LTD.,02-Aug-00,Final Dividend - Rs. - 0.5000,-,17-Aug-00,24-Aug-00,02-Aug-00,11-Aug-00,-
532210,CUB,CITY UNION BANK LTD.,02-Aug-00,Dividend - Rs. - 2.5000,-,17-Aug-00,28-Aug-00,02-Aug-00,11-Aug-00,-
532286,JINDALSTEL,JINDAL STEEL & POWER LTD.,02-Aug-00,NIL Dividend - Rs. - 0.0000,-,17-Aug-00,31-Aug-00,02-Aug-00,11-Aug-00,-
523207,KOKUYOCMLN,KOKUYO CAMLIN LTD.-$,02-Aug-00,Dividend - Rs. - 2.5000,-,17-Aug-00,29-Aug-00,02-Aug-00,11-Aug-00,-
500290,MRF,MRF LTD.,02-Aug-00,Interim Dividend - Rs. - 3.0000,17-Aug-00,-,-,02-Aug-00,11-Aug-00,-
500144,FINCABLES,FINOLEX CABLES LTD.,03-Aug-00,NIL Dividend - Rs. - 0.0000,-,18-Aug-00,22-Aug-00,03-Aug-00,14-Aug-00,-
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,03-Aug-00,NIL Dividend - Rs. - 0.0000,-,18-Aug-00,25-Aug-00,03-Aug-00,14-Aug-00,-
506820,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,11-Aug-00,Dividend - Rs. - 0.5000,-,30-Aug-00,08-Sep-00,11-Aug-00,25-Aug-00,-
532175,CYIENT,Cyient Limited,11-Aug-00,Dividend - Rs. - 0.5000,-,29-Aug-00,30-Aug-00,11-Aug-00,24-Aug-00,-
517354,HAVELLS,HAVELLS INDIA LTD.,11-Aug-00,Dividend - Rs. - 2.0000,-,28-Aug-00,31-Aug-00,11-Aug-00,24-Aug-00,-
530951,RAMINFO,RAMINFO LIMITED,11-Aug-00,NIL Dividend - Rs. - 0.0000,-,30-Aug-00,10-Sep-00,11-Aug-00,25-Aug-00,-
532343,TVSMOTOR,TVS MOTOR COMPANY LTD.,11-Aug-00,NIL Dividend - Rs. - 0.0000,-,30-Aug-00,11-Sep-00,11-Aug-00,25-Aug-00,-
500710,AKZOINDIA,Akzo Nobel India Limited,30-Aug-00,NIL Dividend - Rs. - 0.0000,-,15-Sep-00,22-Sep-00,30-Aug-00,13-Sep-00,-
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,30-Aug-00,Final Dividend - Rs. - 1.5000,-,15-Sep-00,30-Sep-00,30-Aug-00,13-Sep-00,-
531486,FILME,FILMCITY MEDIA LTD.,30-Aug-00,NIL Dividend - Rs. - 0.0000,-,15-Sep-00,29-Sep-00,30-Aug-00,13-Sep-00,-
532341,IZMO,IZMO Limited-$,30-Aug-00,Dividend - Rs. - 1.4000,-,15-Sep-00,29-Sep-00,30-Aug-00,13-Sep-00,-
523398,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,30-Aug-00,Dividend - Rs. - 1.0000,-,15-Sep-00,20-Sep-00,30-Aug-00,13-Sep-00,-
513335,METALFORGE,Metalyst Forgings Limited,30-Aug-00,NIL Dividend - Rs. - 0.0000,-,15-Sep-00,23-Sep-00,30-Aug-00,13-Sep-00,-
513023,NBVENTURES,NAVA BHARAT VENTURES LTD.,30-Aug-00,Dividend - Rs. - 0.0000,-,15-Sep-00,22-Sep-00,30-Aug-00,13-Sep-00,-
526481,PHOENXINTL,PHOENIX INTERNATIONAL LTD.,30-Aug-00,Dividend - Rs. - 0.7500,-,15-Sep-00,22-Sep-00,30-Aug-00,13-Sep-00,-
530517,RELAXO,RELAXO FOOTWEARS LTD.-$,30-Aug-00,Final Dividend - Rs. - 1.0000,-,15-Sep-00,22-Sep-00,30-Aug-00,13-Sep-00,-
507828,ANSALHSG,Ansal Housing Ltd-$,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,21-Sep-00,27-Sep-00,11-Sep-00,19-Sep-00,-
506109,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,11-Sep-00,Dividend - Rs. - 1.5000,-,25-Sep-00,28-Sep-00,11-Sep-00,22-Sep-00,-
